GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
89 1.574572e+13 0.000000e+00 7.156407e-01 2.843593e-01 9.690690e-02 1.423131e-01 1.183733e-01 3.382826e-01 3.444721e-01 nan nan nan 1.089901e+01 8.416820e+00 8.079688e-01 1.119336e+01 8.443042e+01 2.757203e-01
90 1.607831e+13 1.536009e-01 5.717663e-01 2.746328e-01 2.251974e-01 3.039529e-01 9.951534e-02 2.574063e-01 3.311223e-01 5.443395e+00 1.077856e+01 5.299013e+00 1.067240e+01 5.529770e+00 2.788934e-01 1.123684e+01 5.771184e+01 4.833687e-01
91 1.090008e+13 0.000000e+00 6.515223e-01 3.484777e-01 2.507754e-01 1.883989e-01 1.618678e-01 3.540150e-01 3.905888e-01 nan nan nan 9.116604e+00 5.729719e+00 5.354130e-01 8.792104e+00 9.315741e+01 4.116544e-01
92 1.799232e+13 0.000000e+00 6.653280e-01 3.346720e-01 1.162880e-01 1.592535e-01 1.665382e-01 4.506869e-01 3.286013e-01 nan nan nan 9.060537e+00 1.146304e+01 1.483617e+00 8.754256e+00 9.952776e+01 4.004952e-01
93 1.316652e+13 0.000000e+00 7.417421e-01 2.582579e-01 2.983916e-02 1.815702e-01 1.005421e-01 2.897695e-01 3.323115e-01 nan nan nan 8.240908e+00 7.448611e+00 4.163403e-01 8.367637e+00 7.362986e+01 6.239843e-01
94 1.683133e+13 0.000000e+00 8.349169e-01 1.650831e-01 1.284864e-02 1.785328e-01 1.166711e-01 3.966507e-01 3.212682e-01 nan nan nan 1.040284e+01 1.470662e+01 1.134115e+00 1.027291e+01 1.193071e+02 4.025919e-01
95 1.691682e+13 3.551897e-01 2.059000e-01 4.389103e-01 5.233595e-01 4.624537e-01 9.184847e-02 2.969299e-01 3.332693e-01 6.736990e+00 7.595293e+00 3.619160e+00 1.092235e+01 2.687441e+00 1.359588e-01 1.083958e+01 4.636750e+01 2.359806e-01
96 1.540943e+13 0.000000e+00 5.908208e-01 4.091792e-01 6.247332e-01 4.756984e-01 1.552689e-01 3.286745e-01 3.758497e-01 nan nan nan 7.017757e+00 4.337297e+00 3.487535e-01 9.035537e+00 8.189432e+01 7.648608e-01
97 1.630946e+13 0.000000e+00 7.621308e-01 2.378692e-01 1.018049e-01 1.604311e-01 1.187369e-01 2.898570e-01 3.394469e-01 nan nan nan 1.089964e+01 7.300158e+00 8.049438e-02 1.051277e+01 9.790789e+01 1.102754e-01
98 1.540085e+13 0.000000e+00 6.789472e-01 3.210528e-01 2.315728e-02 1.530225e-01 1.801018e-01 3.986530e-01 3.819829e-01 nan nan nan 1.042346e+01 7.585772e+00 9.565516e-01 9.364868e+00 1.093766e+02 1.060185e+00
